"ID","researcher","year","title","journal","article_type","article_type_other","continents","countries","municipalities","gen_type","urban_type","gradient_study","agriculture_type","ag_type_other","production_type","production_type_other","conservation","question","result_1","result_2","ipm"
1,"SKH",2005,"urban domestic gardens (ii) experimental tests of methods for increasing biodiversity","Biodiversity and Conservation","research","","europe","England","Sheffield","amphibian; invertebrate; plant; soil_microbe","urban","not gradient study","residential garden","","unknown","","cons_effects;manage_effects","We tested five recommended methods of improving biodiversity in domestic gardens: nests for bees and wasps, nettles for butterflies, ponds for, for fungi and saproxylic","2) solitary bees and wasps used nest boxes in every garden 2) no bumblebees used any nest sites 3) Only 1 larvae used nettles 4) aquatic inverts occupied ponds quickly, 4) no saproxylic invertebrates in wood piles, but yes for fungi, et al","Some methods for increasing the biodiversity of garden environments may be very effective, others have a low probability of success on the timescales and spatial scales likely to be acceptable to many garden owners.",0
2,"SKH",2006,"edges of connection reconceptualising the human role in urban biogeography","Australian Geographer","research","","australia","Australia","Sydney, Wollongong, Alice Springs","plant","urban","not gradient study","residential garden","","ornamental","native plants for habitat","information","Humans will need to be re-imagined and co-opted as active co-constructors of this nature rather than solely as threats to it. Analysing the attitudes and practices of 38 backyarders who live adjacent to, or in close proximity to, bushland","Results are summarised along a continuum between restoration and gardening.","21% committed native gardeners, 34% general native gardeners, 34% non-native gardeners, 11% non-gardeners",0
3,"SKH",2007,"urban form, biodiversity potential and ecosystem services","Landscape and Urban Planning","research","","europe","England; Scotland","Edinburgh, Glasgow, Leicester, Oxford, Sheffield","plant","urban","not gradient study","residential garden","","unknown","","information","How are urban form and measures of environmental quality and biodiversity potential related over 15 sites distributed across five UK cities?","The Biodiversity potential (proportion cover of gardens) was positively and sig correlated with the proportion of detached or semi-detached buildings in a portion of a city.","",0
4,"SKH",2007,"urban domestic gardens (xi) variation in urban wildlife gardening in the united kingdom","Biodiversity and Conservation","research","","europe","England; Scotland","Sheffield, Oxford, Leicester, Glasgow, Edinburgh","amphibian; bird; invertebrate; mammal; plant","urban","not gradient study","residential garden","","food;ornamental","","information","What is the % of households providing wildlife garden featurs or participating in various wildlife gardening activities, and housing densities and garden characteristics.","Most common wildlife gardening activity was bird feeding. Garden cover associated with compost heap, nest boxes, and bird baths, ponds and feeders.","Spatial variation in wildlife gardening activities associated with the proportion of households with access to a garden, average garden size, and the proportion of land cover by gardens. No evidence of household density or socioeconomic status effects.",0
5,"SKH",2009,"a national scale inventory of resource provision for biodiversity within domestic gardens","Biological Conservation","research","","europe","England; Northern Ireland; Scotland; Wales","several","amphibian; bird; invertebrate; plant","suburb;urban","not gradient study","residential garden","","ornamental","","cons_effects","What are the key wildlife resources provided within domestic gardens across the United Kingdom?","87% of households had gardens. Mean garden size was 190 m2. extrapolated to 432,964 ha (95% CI = 393,391–472,537) of garden area in the United Kingdom. 51% of household had gardens provisioning birds; 12,581,718 (95% CI = 10,469,000–
14,694,435) homes.","23% of households with gardens used bird feeders. 16% of households had at least one nest box, extrapolating to 4,305,621 (95%
CI = 2,658,848–5,952,394) total. 10% had ponds equating to 2,543,201 (95% CI = 1,487,803–3,598,599) ponds.",0
6,"SKH",2012,"homeowner associations as a vehicle for promoting native urban biodiversity","Ecology and Society","research","","north america","USA","Phoenix","bird; invertebrate; plant","urban","not gradient study","residential garden","","unknown","","information","Are native bird diversity, arthropod diversity, and plant diversity between neighborhoods with and without a HOA?","Neighborhoods belonging to HOAs had significantly greater bird and plant diversity, although insect diversity did not differ.","sanctions for enforcement coupled with a predictable maintenance regime that introduces regular disturbance, might explain why neighborhoods with a HOA had greater bird diversity.",0
7,"SKH",2012,"closing the gap communicating to change gardening practices in support of native biodiversity in urban private gardens","Ecology and Society","research","","australia","New Zealand","Dunedin","bird; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","food;ornamental","","information","Can we improve the knowledge and influece values, attitudes, and gardening behavior or 55 households in favor of native biodiversity and enviro practices through two-way communication dialog, during a process of biodiversity documentation of gardens.","shift in attitude was detected in 64% of householders: 40% reported a greater understanding of wildlife, and 26% made changes
in their gardens, 13% to support native biodiversity","These changes were detected primarily through open self-report questions, rather than quantitative measures",0
8,"SKH",2012,"biodiversity in the front yard an investigation of landscape preference in a domestic urban context","Environment and Behavior","research","","australia","Australia","Perth","bird; plant","urban","not gradient study","residential garden","","ornamental","","information","Are residents' aesthetic preferences for hi and low-habtiat provisioning garden landscapes a function of demographic variables, local gardening norms, current gardening practices, and gardening-relevant variables?","A slight preference for high-habitat vs. low-habitat gardens among residents. Urban biodiversity and Water conservation responses skewed toward the \"pro environmental\" end of the scale. Perceptions about native plants was around midpoint.","Mixed and Native gardeners had landscape preferences for high-habitat images, whereas expotic, unaware, and non-gardeners showed a net preference for low-habitat images. Attitudes toward native plants had strongest relationship to landscape preference.",0
9,"SKH",2013,"socio-ecological systems and biodiversity conservation in african city insights from kano emir's palace gardens","Urban Ecosystems","research","","africa","Nigeria","Kano","bird; invertebrate; plant","urban","not gradient study","community garden/farm;residential garden","","food;medicinal; ornamental","1","information","Can a socio-ecological system be an alternative approach to explore African indigenous urban biodiversity management? What is the biodiversity conservation of the Kano palace gardens?","palace gardens offer an avenue for intersection of a wide range of ecological and cultural activities: biodiversity conservation, recreation, security and surveillance, climate hazards proofing, and sacred dimensions","it is possible to address challenges confronting Africa’s urban biodiversity through the combination of scientific and indigenous systems. we could show a strong relation between local traditions and conservation of the urban biodiversity",0
10,"SKH",2013,"local and management variables outweigh landscape effects in enhancing the diversity of different taxa in a big metropolis","Biological Conservation","research","","europe","France","Paris","bird; invertebrate; plant","urban","not gradient study","community garden/farm","","ornamental","","information","1) which biodiversity does public gardens harbor, 2) how do local and landscape management and variables influence bird, pollinator and plant diversity? 3) do some taxa serve as surrogates for others?","Certified biodiversity friendly gardens had higher bird, butterfly, pollinator and plant richness than those not certified. Bird richness associated positively with mulch, peat, area, and tree cover and neg with pesticides, & mow height. Local > landscape","Butterfly richness associated with tree and bush cover pos; abundance with mulch, area, bush, lawn, and habitat diversity pos. Pollinator richness ass pos with peat, area, lawn cover, and habitat diversity. Plants with peat, mow height, lawn cover& habdiv",0
